Minute,Open,High,Low,Close
2020-04-27 18:58:00,7715.45,7717.27,7715.45,7717.27
2020-04-27 18:59:00,7717.27,7721.99,7715.19,7720.67
2020-04-27 19:00:00,7720.15,7723.0,7720.01,7723.0
2020-04-27 19:01:00,7723.0,7729.0,7722.99,7727.22
2020-04-27 19:02:00,7727.21,7727.21,7718.05,7723.0
2020-04-27 19:03:00,7720.85,7725.08,7719.59,7725.04
2020-04-27 19:04:00,7725.04,7730.0,7725.03,7729.99
2020-04-27 19:05:00,7730.0,7730.0,7727.32,7730.0
2020-04-27 19:06:00,7730.0,7730.0,7726.0,7726.0
2020-04-27 19:07:00,7725.99,7730.96,7724.63,7730.94
2020-04-27 19:08:00,7730.94,7731.04,7719.45,7719.45
2020-04-27 19:09:00,7718.16,7725.46,7718.0,7720.41
2020-04-27 19:10:00,7720.16,7723.21,7717.76,7720.91
2020-04-27 19:11:00,7721.57,7723.78,7718.6,7722.05
2020-04-27 19:12:00,7722.05,7722.61,7716.75,7718.34
2020-04-27 19:13:00,7718.48,7720.66,7716.81,7720.66
2020-04-27 19:14:00,7721.11,7721.13,7717.63,7720.0
2020-04-27 19:15:00,7720.0,7725.66,7719.99,7722.62
2020-04-27 19:16:00,7722.61,7722.62,7721.71,7722.55
2020-04-27 19:17:00,7722.55,7725.49,7720.99,7721.63
2020-04-27 19:18:00,7721.61,7721.61,7720.0,7720.89
2020-04-27 19:19:00,7720.9,7720.96,7720.9,7720.96
2020-04-27 19:20:00,7720.95,7721.0,7712.19,7714.93
2020-04-27 19:21:00,7714.93,7714.93,7713.08,7714.52
2020-04-27 19:22:00,7714.52,7714.52,7712.0,7712.01
2020-04-27 19:23:00,7712.0,7713.0,7712.0,7712.98
2020-04-27 19:24:00,7712.98,7713.0,7712.01,7712.89
2020-04-27 19:25:00,7712.03,7712.03,7712.02,7712.02
2020-04-27 19:26:00,7712.03,7712.05,7712.02,7712.03
2020-04-27 19:27:00,7712.02,7712.05,7712.02,7712.02
2020-04-27 19:28:00,7712.04,7718.97,7712.04,7715.34
2020-04-27 19:29:00,7715.35,7716.86,7714.93,7716.85
2020-04-27 19:30:00,7716.85,7722.07,7716.17,7719.27
2020-04-27 19:31:00,7719.27,7722.15,7717.47,7722.14
2020-04-27 19:32:00,7722.13,7725.0,7712.0,7712.0
2020-04-27 19:33:00,7712.0,7715.47,7710.0,7715.47
2020-04-27 19:34:00,7714.22,7714.22,7710.7,7710.73
2020-04-27 19:35:00,7710.44,7714.55,7710.44,7713.25
2020-04-27 19:36:00,7713.25,7713.27,7710.0,7711.29
2020-04-27 19:37:00,7711.31,7712.28,7710.0,7712.28
2020-04-27 19:38:00,7712.53,7713.81,7704.75,7705.93
2020-04-27 19:39:00,7705.92,7708.67,7704.94,7707.99
2020-04-27 19:40:00,7707.11,7708.0,7703.66,7705.03
2020-04-27 19:41:00,7705.03,7706.71,7702.3,7703.81
2020-04-27 19:42:00,7705.07,7710.55,7704.63,7710.08
2020-04-27 19:43:00,7710.07,7718.03,7710.07,7717.02
2020-04-27 19:44:00,7717.92,7718.03,7713.88,7717.06
2020-04-27 19:45:00,7717.05,7717.5,7713.9,7715.23
2020-04-27 19:46:00,7715.23,7719.11,7715.23,7716.23
2020-04-27 19:47:00,7717.41,7717.41,7715.22,7715.23
2020-04-27 19:48:00,7715.23,7719.8,7715.22,7717.74
2020-04-27 19:49:00,7717.73,7720.79,7715.22,7717.94
2020-04-27 19:50:00,7715.23,7720.33,7715.22,7716.39
2020-04-27 19:51:00,7717.92,7721.56,7715.22,7716.68
2020-04-27 19:52:00,7716.66,7716.68,7715.0,7715.25
2020-04-27 19:53:00,7715.26,7715.31,7715.26,7715.3
2020-04-27 19:54:00,7715.31,7715.33,7711.81,7713.46
2020-04-27 19:55:00,7713.65,7715.32,7713.29,7714.96
2020-04-27 19:56:00,7714.95,7714.96,7714.95,7714.96
2020-04-27 19:57:00,7714.96,7714.97,7714.4,7714.43
2020-04-27 19:58:00,7714.44,7714.47,7712.09,7712.46
2020-04-27 19:59:00,7712.46,7716.67,7709.44,7709.44
2020-04-27 20:00:00,7712.85,7714.97,7711.28,7712.7
2020-04-27 20:01:00,7712.7,7714.99,7709.95,7714.98
2020-04-27 20:02:00,7714.16,7715.0,7711.23,7713.24
2020-04-27 20:03:00,7713.56,7719.94,7713.3,7719.89
2020-04-27 20:04:00,7719.88,7720.0,7719.07,7720.0
2020-04-27 20:05:00,7720.0,7724.0,7719.58,7721.22
2020-04-27 20:06:00,7720.78,7721.22,7720.61,7721.22
2020-04-27 20:07:00,7721.22,7721.22,7720.14,7721.22
2020-04-27 20:08:00,7721.22,7721.22,7721.06,7721.22
2020-04-27 20:09:00,7721.22,7721.22,7721.21,7721.22
2020-04-27 20:10:00,7721.22,7723.74,7719.44,7723.68
2020-04-27 20:11:00,7722.77,7722.83,7722.77,7722.82
2020-04-27 20:12:00,7722.82,7722.83,7717.43,7719.92
2020-04-27 20:13:00,7719.92,7719.92,7719.73,7719.75
2020-04-27 20:14:00,7719.75,7719.77,7713.71,7714.39
2020-04-27 20:15:00,7714.39,7714.39,7712.46,7712.79
2020-04-27 20:16:00,7712.79,7712.79,7710.0,7710.95
2020-04-27 20:17:00,7710.95,7710.95,7702.99,7703.92
2020-04-27 20:18:00,7703.92,7703.92,7703.59,7703.9
2020-04-27 20:19:00,7703.9,7703.91,7700.57,7702.12
2020-04-27 20:20:00,7702.11,7702.12,7702.11,7702.12
2020-04-27 20:21:00,7702.12,7702.12,7700.89,7701.5
2020-04-27 20:22:00,7700.78,7702.12,7692.04,7701.22
2020-04-27 20:23:00,7701.23,7702.12,7698.09,7700.01
2020-04-27 20:24:00,7700.02,7706.6,7700.0,7706.56
2020-04-27 20:25:00,7706.57,7709.79,7704.74,7706.54
2020-04-27 20:26:00,7706.54,7706.54,7706.33,7706.34
2020-04-27 20:27:00,7706.35,7709.92,7703.29,7705.95
2020-04-27 20:28:00,7705.46,7705.93,7703.85,7704.84
2020-04-27 20:29:00,7704.84,7704.89,7704.8,7704.81
2020-04-27 20:30:00,7704.81,7704.81,7701.09,7701.11
2020-04-27 20:31:00,7701.1,7706.94,7701.0,7706.36
2020-04-27 20:32:00,7706.35,7706.35,7703.17,7703.97
2020-04-27 20:33:00,7703.98,7704.03,7703.97,7704.02
2020-04-27 20:34:00,7704.01,7707.12,7703.95,7706.86
2020-04-27 20:35:00,7706.86,7709.5,7705.23,7709.02
2020-04-27 20:36:00,7708.79,7710.0,7703.79,7705.96
2020-04-27 20:37:00,7705.96,7707.0,7705.67,7707.0
2020-04-27 20:38:00,7706.57,7707.0,7706.57,7707.0
2020-04-27 20:39:00,7707.0,7707.0,7701.92,7703.27
2020-04-27 20:40:00,7703.89,7707.0,7703.89,7707.0
2020-04-27 20:41:00,7707.0,7707.0,7706.99,7707.0
2020-04-27 20:42:00,7706.99,7707.0,7706.99,7706.99
2020-04-27 20:43:00,7706.99,7707.0,7706.99,7707.0
2020-04-27 20:44:00,7706.99,7719.1,7706.99,7715.59
2020-04-27 20:45:00,7715.58,7715.59,7710.9,7712.6
2020-04-27 20:46:00,7712.6,7716.35,7712.59,7714.55
2020-04-27 20:47:00,7714.45,7714.45,7705.23,7706.01
2020-04-27 20:48:00,7706.01,7708.06,7705.0,7705.92
2020-04-27 20:49:00,7705.92,7706.62,7705.92,7706.62
2020-04-27 20:50:00,7706.61,7711.43,7705.24,7709.69
2020-04-27 20:51:00,7709.69,7709.69,7705.94,7709.03
2020-04-27 20:52:00,7709.06,7711.52,7707.6,7711.3
2020-04-27 20:53:00,7711.29,7711.46,7709.27,7711.41
2020-04-27 20:54:00,7711.05,7711.4,7706.07,7708.15
2020-04-27 20:55:00,7707.99,7709.12,7706.29,7709.12
2020-04-27 20:56:00,7709.11,7709.12,7707.94,7709.01
2020-04-27 20:57:00,7709.01,7711.8,7709.0,7711.8
2020-04-27 20:58:00,7711.8,7713.37,7711.08,7712.47
2020-04-27 20:59:00,7712.47,7712.47,7709.01,7711.0
2020-04-27 21:00:00,7709.34,7710.56,7705.84,7707.28
2020-04-27 21:01:00,7707.19,7709.25,7706.74,7707.55
2020-04-27 21:02:00,7707.35,7715.31,7707.24,7715.31
2020-04-27 21:03:00,7715.31,7717.0,7715.3,7717.0
2020-04-27 21:04:00,7717.11,7717.12,7714.0,7714.42
2020-04-27 21:05:00,7714.93,7719.29,7713.99,7719.29
2020-04-27 21:06:00,7719.62,7725.0,7717.86,7724.99
2020-04-27 21:07:00,7724.22,7724.99,7724.16,7724.85
2020-04-27 21:08:00,7724.84,7724.99,7724.84,7724.85
2020-04-27 21:09:00,7724.84,7724.92,7719.15,7721.82
2020-04-27 21:10:00,7721.82,7725.0,7719.82,7723.91
2020-04-27 21:11:00,7723.53,7723.91,7723.52,7723.53
2020-04-27 21:12:00,7723.53,7725.0,7723.52,7725.0
2020-04-27 21:13:00,7725.0,7725.0,7724.02,7725.0
2020-04-27 21:14:00,7725.0,7725.0,7723.99,7724.0
2020-04-27 21:15:00,7724.01,7725.04,7724.0,7725.04
2020-04-27 21:16:00,7725.04,7729.56,7725.04,7729.56
2020-04-27 21:17:00,7729.57,7736.19,7729.57,7734.56
2020-04-27 21:18:00,7734.57,7738.47,7734.57,7738.47
2020-04-27 21:19:00,7737.3,7749.0,7737.29,7747.95
2020-04-27 21:20:00,7749.0,7749.99,7740.89,7744.76
2020-04-27 21:21:00,7743.0,7746.64,7741.61,7745.99
2020-04-27 21:22:00,7744.15,7747.0,7742.49,7747.0
2020-04-27 21:23:00,7747.0,7748.0,7746.66,7748.0
2020-04-27 21:24:00,7747.99,7748.0,7742.68,7744.36
2020-04-27 21:25:00,7744.36,7747.0,7739.78,7746.97
2020-04-27 21:26:00,7746.54,7748.0,7745.34,7745.34
2020-04-27 21:27:00,7745.34,7747.4,7743.66,7747.4
2020-04-27 21:28:00,7746.99,7747.99,7745.5,7746.51
2020-04-27 21:29:00,7747.7,7747.98,7746.09,7746.31
2020-04-27 21:30:00,7746.31,7747.03,7740.03,7740.84
2020-04-27 21:31:00,7740.84,7740.84,7740.0,7740.02
2020-04-27 21:32:00,7740.01,7740.84,7740.0,7740.84
2020-04-27 21:33:00,7740.84,7741.0,7740.83,7741.0
2020-04-27 21:34:00,7741.0,7741.0,7736.54,7740.0
2020-04-27 21:35:00,7740.0,7743.0,7739.99,7743.0
2020-04-27 21:36:00,7742.99,7745.66,7740.52,7743.35
