Minute,Open,High,Low,Close
2020-04-22 01:00:00,6842.98,6843.7,6842.82,6843.69
2020-04-22 01:01:00,6843.7,6843.7,6842.82,6842.82
2020-04-22 01:02:00,6842.83,6843.7,6838.72,6838.72
2020-04-22 01:03:00,6838.72,6841.79,6838.71,6839.99
2020-04-22 01:04:00,6839.99,6841.94,6833.14,6833.14
2020-04-22 01:05:00,6833.13,6836.05,6829.1,6830.96
2020-04-22 01:06:00,6831.83,6837.85,6827.89,6833.43
2020-04-22 01:07:00,6833.43,6837.71,6832.75,6834.84
2020-04-22 01:08:00,6835.93,6836.56,6830.23,6835.87
2020-04-22 01:09:00,6834.44,6835.42,6830.26,6831.23
2020-04-22 01:10:00,6831.79,6835.0,6829.25,6833.99
2020-04-22 01:11:00,6834.99,6836.22,6830.22,6836.0
2020-04-22 01:12:00,6835.71,6835.71,6830.72,6831.53
2020-04-22 01:13:00,6831.02,6832.14,6829.06,6832.14
2020-04-22 01:14:00,6835.93,6835.93,6835.58,6835.93
2020-04-22 01:15:00,6835.93,6846.43,6835.93,6846.42
2020-04-22 01:16:00,6846.43,6846.43,6839.45,6839.52
2020-04-22 01:17:00,6840.84,6844.54,6840.25,6844.54
2020-04-22 01:18:00,6844.54,6854.87,6840.15,6854.87
2020-04-22 01:19:00,6854.87,6854.87,6848.19,6849.0
2020-04-22 01:20:00,6849.0,6849.6,6844.15,6844.16
2020-04-22 01:21:00,6844.16,6845.68,6840.86,6844.14
2020-04-22 01:22:00,6844.64,6850.59,6844.64,6849.59
2020-04-22 01:23:00,6847.16,6851.2,6847.07,6851.2
2020-04-22 01:24:00,6850.06,6853.05,6850.05,6850.5
2020-04-22 01:25:00,6850.49,6850.49,6846.75,6849.99
2020-04-22 01:26:00,6848.79,6848.79,6845.7,6846.4
2020-04-22 01:27:00,6846.05,6848.22,6844.17,6846.73
2020-04-22 01:28:00,6846.73,6848.71,6846.73,6848.71
2020-04-22 01:29:00,6848.71,6848.71,6848.7,6848.71
2020-04-22 01:30:00,6848.71,6848.71,6845.21,6845.21
2020-04-22 01:31:00,6845.22,6848.71,6844.04,6848.71
2020-04-22 01:32:00,6848.7,6851.0,6848.7,6851.0
2020-04-22 01:33:00,6854.69,6854.69,6850.63,6850.63
2020-04-22 01:34:00,6850.63,6853.77,6849.06,6851.95
2020-04-22 01:35:00,6851.95,6851.95,6847.07,6850.66
2020-04-22 01:36:00,6850.66,6850.99,6848.95,6848.99
2020-04-22 01:37:00,6848.99,6854.2,6848.98,6851.56
2020-04-22 01:38:00,6850.81,6850.81,6839.95,6841.26
2020-04-22 01:39:00,6841.27,6845.06,6841.27,6845.06
2020-04-22 01:40:00,6845.06,6850.5,6845.06,6846.14
2020-04-22 01:41:00,6846.8,6849.71,6846.0,6849.27
