Minute,Open,High,Low,Close
2020-05-07 17:02:00,9667.77,9675.0,9656.43,9674.99
2020-05-07 17:03:00,9675.0,9698.0,9660.0,9661.7
2020-05-07 17:04:00,9665.68,9694.11,9661.95,9694.11
2020-05-07 17:05:00,9694.11,9699.4,9673.76,9699.4
2020-05-07 17:06:00,9699.39,9715.0,9687.89,9704.42
2020-05-07 17:07:00,9704.38,9710.0,9686.46,9695.0
2020-05-07 17:08:00,9696.49,9735.25,9695.08,9735.25
2020-05-07 17:09:00,9735.44,9745.0,9710.44,9722.57
2020-05-07 17:10:00,9724.45,9746.25,9724.45,9740.0
2020-05-07 17:11:00,9739.99,9766.58,9737.3,9746.81
2020-05-07 17:12:00,9749.8,9757.25,9700.0,9709.99
2020-05-07 17:13:00,9710.0,9732.85,9701.0,9703.91
2020-05-07 17:14:00,9703.9,9708.97,9683.61,9704.23
2020-05-07 17:15:00,9704.23,9713.61,9700.0,9700.0
2020-05-07 17:16:00,9700.0,9726.74,9700.0,9726.74
2020-05-07 17:17:00,9728.4,9734.48,9720.02,9732.8
2020-05-07 17:18:00,9731.04,9744.54,9728.52,9744.35
2020-05-07 17:19:00,9739.99,9744.36,9728.52,9736.96
2020-05-07 17:20:00,9736.96,9738.11,9728.52,9731.32
2020-05-07 17:21:00,9731.33,9739.03,9728.52,9733.14
2020-05-07 17:22:00,9733.14,9757.89,9728.52,9754.74
2020-05-07 17:23:00,9754.74,9770.0,9751.08,9770.0
2020-05-07 17:24:00,9770.0,9823.25,9770.0,9794.59
2020-05-07 17:25:00,9796.28,9825.0,9770.76,9825.0
2020-05-07 17:26:00,9825.0,9825.0,9780.03,9784.28
2020-05-07 17:27:00,9784.28,9807.0,9784.28,9806.97
2020-05-07 17:28:00,9805.43,9809.33,9788.0,9795.62
2020-05-07 17:29:00,9796.24,9803.96,9750.0,9762.72
2020-05-07 17:30:00,9763.56,9789.95,9763.52,9773.38
2020-05-07 17:31:00,9775.33,9795.98,9775.33,9792.26
2020-05-07 17:32:00,9793.63,9800.0,9790.0,9796.51
2020-05-07 17:33:00,9796.51,9820.52,9786.1,9818.9
2020-05-07 17:34:00,9819.43,9867.0,9819.43,9854.29
2020-05-07 17:35:00,9855.84,9859.31,9832.99,9841.39
2020-05-07 17:36:00,9842.21,9854.63,9801.75,9844.19
2020-05-07 17:37:00,9846.95,9866.84,9839.76,9866.82
2020-05-07 17:38:00,9865.85,9896.0,9852.33,9879.99
2020-05-07 17:39:00,9880.0,9923.79,9859.36,9900.02
2020-05-07 17:40:00,9900.02,9915.93,9894.81,9906.76
2020-05-07 17:41:00,9905.02,9935.61,9898.01,9907.72
2020-05-07 17:42:00,9907.73,9914.67,9822.77,9868.67
2020-05-07 17:43:00,9869.62,9876.38,9801.04,9809.94
2020-05-07 17:44:00,9808.43,9841.04,9800.0,9803.09
2020-05-07 17:45:00,9803.08,9806.61,9756.0,9791.12
2020-05-07 17:46:00,9792.0,9828.03,9792.0,9826.15
2020-05-07 17:47:00,9826.28,9847.33,9824.4,9825.74
2020-05-07 17:48:00,9825.74,9843.91,9813.48,9822.93
