Minute,Open,High,Low,Close
2020-04-30 02:35:00,8843.29,8849.98,8843.28,8849.98
2020-04-30 02:36:00,8849.98,8865.76,8849.86,8858.29
2020-04-30 02:37:00,8858.29,8872.01,8858.28,8864.54
2020-04-30 02:38:00,8868.98,8887.25,8864.86,8883.65
2020-04-30 02:39:00,8880.17,8884.77,8875.28,8880.18
2020-04-30 02:40:00,8880.18,8881.64,8875.27,8878.46
2020-04-30 02:41:00,8878.49,8879.99,8869.38,8879.89
2020-04-30 02:42:00,8879.14,8879.14,8872.83,8876.98
2020-04-30 02:43:00,8875.83,8881.23,8875.73,8881.23
2020-04-30 02:44:00,8881.23,8887.1,8880.7,8882.03
2020-04-30 02:45:00,8882.02,8894.49,8882.02,8894.0
2020-04-30 02:46:00,8894.0,8900.0,8893.99,8899.04
2020-04-30 02:47:00,8897.62,8900.0,8888.89,8889.43
2020-04-30 02:48:00,8888.89,8896.06,8888.88,8889.16
2020-04-30 02:49:00,8890.0,8900.0,8889.07,8899.79
2020-04-30 02:50:00,8899.99,8900.0,8897.99,8900.0
2020-04-30 02:51:00,8900.0,8900.0,8899.99,8900.0
2020-04-30 02:52:00,8899.99,8905.0,8899.36,8905.0
2020-04-30 02:53:00,8905.0,8924.99,8904.99,8924.98
2020-04-30 02:54:00,8924.99,8924.99,8911.85,8923.21
2020-04-30 02:55:00,8924.0,8932.78,8923.87,8932.78
2020-04-30 02:56:00,8932.77,8932.78,8921.07,8924.8
2020-04-30 02:57:00,8924.8,8929.47,8915.86,8921.01
2020-04-30 02:58:00,8921.93,8944.44,8921.93,8941.91
2020-04-30 02:59:00,8941.51,8976.41,8938.76,8961.9
2020-04-30 03:00:00,8961.91,8961.91,8935.18,8940.99
2020-04-30 03:01:00,8940.73,8970.0,8937.69,8970.0
2020-04-30 03:02:00,8969.99,8970.0,8956.02,8966.05
2020-04-30 03:03:00,8968.95,9000.0,8956.52,9000.0
2020-04-30 03:04:00,9000.0,9015.0,8950.14,8954.51
2020-04-30 03:05:00,8951.11,8956.46,8850.0,8902.34
2020-04-30 03:06:00,8903.39,8943.84,8895.77,8932.35
2020-04-30 03:07:00,8941.04,8947.56,8933.07,8943.44
2020-04-30 03:08:00,8940.79,8950.0,8932.67,8940.17
2020-04-30 03:09:00,8937.92,8966.16,8935.65,8957.57
2020-04-30 03:10:00,8957.57,8958.34,8946.21,8946.21
2020-04-30 03:11:00,8946.22,8950.0,8946.22,8949.77
2020-04-30 03:12:00,8949.77,8949.77,8935.0,8946.91
2020-04-30 03:13:00,8946.95,8948.84,8941.42,8948.57
2020-04-30 03:14:00,8949.71,8949.71,8927.13,8939.88
2020-04-30 03:15:00,8939.83,8950.0,8936.4,8950.0
2020-04-30 03:16:00,8950.0,8952.49,8947.57,8952.49
2020-04-30 03:17:00,8952.48,8976.88,8952.48,8971.72
2020-04-30 03:18:00,8970.0,8975.0,8962.1,8972.91
2020-04-30 03:19:00,8972.25,8984.99,8972.05,8981.62
2020-04-30 03:20:00,8984.95,8984.97,8974.92,8981.98
2020-04-30 03:21:00,8982.63,8985.94,8967.31,8970.49
2020-04-30 03:22:00,8968.73,8977.02,8967.59,8974.38
2020-04-30 03:23:00,8975.84,8983.73,8974.59,8981.74
2020-04-30 03:24:00,8981.74,8983.15,8970.0,8971.0
2020-04-30 03:25:00,8970.99,8976.78,8970.0,8972.18
2020-04-30 03:26:00,8972.18,8985.09,8972.18,8985.09
2020-04-30 03:27:00,8985.09,9007.63,8985.09,9000.0
2020-04-30 03:28:00,9000.0,9055.0,8997.33,9048.23
2020-04-30 03:29:00,9038.86,9100.0,9033.22,9057.71
2020-04-30 03:30:00,9057.7,9057.7,9007.5,9055.0
2020-04-30 03:31:00,9055.0,9096.84,9055.0,9096.84
2020-04-30 03:32:00,9096.96,9100.0,9065.11,9092.55
2020-04-30 03:33:00,9092.55,9095.0,9072.29,9080.8
2020-04-30 03:34:00,9080.31,9123.0,9079.48,9123.0
2020-04-30 03:35:00,9123.0,9130.0,9102.64,9124.51
2020-04-30 03:36:00,9128.79,9155.0,9127.36,9131.71
2020-04-30 03:37:00,9135.0,9191.0,9135.0,9191.0
2020-04-30 03:38:00,9188.58,9192.71,9143.78,9165.5
2020-04-30 03:39:00,9165.51,9200.0,9165.5,9185.83
2020-04-30 03:40:00,9185.83,9233.0,9183.73,9205.66
2020-04-30 03:41:00,9205.66,9215.0,9147.01,9166.13
2020-04-30 03:42:00,9174.53,9193.28,9157.77,9175.62
2020-04-30 03:43:00,9175.62,9196.96,9175.0,9180.39
2020-04-30 03:44:00,9180.39,9189.31,9151.12,9154.75
2020-04-30 03:45:00,9151.1,9171.28,9142.16,9153.25
2020-04-30 03:46:00,9154.24,9185.96,9154.24,9181.1
2020-04-30 03:47:00,9181.1,9200.0,9177.48,9186.37
2020-04-30 03:48:00,9186.37,9192.69,9169.09,9179.95
2020-04-30 03:49:00,9178.1,9185.69,9175.47,9182.81
2020-04-30 03:50:00,9183.0,9221.31,9182.05,9200.0
2020-04-30 03:51:00,9199.99,9244.78,9195.56,9241.04
2020-04-30 03:52:00,9237.33,9244.88,9218.61,9230.06
2020-04-30 03:53:00,9234.87,9247.02,9231.1,9247.01
2020-04-30 03:54:00,9247.02,9275.0,9247.02,9266.76
2020-04-30 03:55:00,9266.76,9288.79,9260.01,9276.29
2020-04-30 03:56:00,9277.09,9288.89,9275.08,9288.89
2020-04-30 03:57:00,9288.89,9290.98,9239.12,9255.99
2020-04-30 03:58:00,9255.99,9299.0,9255.88,9299.0
2020-04-30 03:59:00,9296.29,9300.0,9274.31,9299.79
2020-04-30 04:00:00,9295.93,9299.01,9116.21,9178.18
2020-04-30 04:01:00,9178.18,9199.0,9068.05,9135.41
2020-04-30 04:02:00,9135.86,9184.1,9134.84,9166.66
2020-04-30 04:03:00,9174.37,9196.74,9162.5,9183.55
2020-04-30 04:04:00,9187.36,9189.54,9160.61,9179.31
2020-04-30 04:05:00,9174.91,9185.91,9161.0,9169.64
2020-04-30 04:06:00,9171.79,9172.15,9143.82,9148.28
2020-04-30 04:07:00,9145.23,9155.56,9133.52,9133.52
2020-04-30 04:08:00,9133.76,9136.52,9120.8,9123.0
2020-04-30 04:09:00,9123.0,9160.0,9123.0,9147.56
2020-04-30 04:10:00,9148.75,9153.07,9136.11,9139.94
2020-04-30 04:11:00,9138.95,9149.88,9055.0,9063.48
2020-04-30 04:12:00,9065.57,9097.04,9005.0,9047.79
2020-04-30 04:13:00,9047.76,9100.0,9020.45,9082.72
2020-04-30 04:14:00,9084.67,9128.55,9078.95,9123.43
2020-04-30 04:15:00,9119.38,9130.0,9119.0,9126.63
2020-04-30 04:16:00,9123.31,9150.23,9120.13,9150.23
2020-04-30 04:17:00,9152.69,9168.28,9151.6,9156.07
2020-04-30 04:18:00,9159.91,9163.0,9145.41,9145.41
2020-04-30 04:19:00,9146.6,9156.44,9132.66,9140.3
2020-04-30 04:20:00,9140.31,9148.36,9140.3,9146.0
2020-04-30 04:21:00,9146.0,9170.0,9145.99,9163.27
2020-04-30 04:22:00,9163.21,9166.19,9150.02,9157.05
2020-04-30 04:23:00,9157.04,9169.99,9153.89,9169.84
