Minute,Open,High,Low,Close
2020-04-20 14:03:00,7036.61,7038.56,7035.9,7038.55
2020-04-20 14:04:00,7038.55,7040.4,7033.73,7037.0
2020-04-20 14:05:00,7035.22,7037.0,7034.28,7036.9
2020-04-20 14:06:00,7036.88,7036.88,7028.97,7032.98
2020-04-20 14:07:00,7032.23,7032.96,7025.0,7025.0
2020-04-20 14:08:00,7023.47,7037.18,7023.44,7032.68
2020-04-20 14:09:00,7032.68,7035.29,7032.67,7033.0
2020-04-20 14:10:00,7032.67,7039.46,7029.43,7038.22
2020-04-20 14:11:00,7038.76,7038.76,7033.66,7036.58
2020-04-20 14:12:00,7035.97,7036.63,7035.97,7036.63
2020-04-20 14:13:00,7036.63,7040.7,7036.62,7040.7
2020-04-20 14:14:00,7041.89,7044.2,7041.87,7041.87
2020-04-20 14:15:00,7041.88,7042.33,7035.99,7041.54
2020-04-20 14:16:00,7042.11,7048.15,7040.85,7047.64
2020-04-20 14:17:00,7048.17,7052.22,7047.0,7052.22
2020-04-20 14:18:00,7052.2,7059.37,7050.84,7058.62
2020-04-20 14:19:00,7057.02,7059.05,7049.5,7053.57
2020-04-20 14:20:00,7053.57,7053.58,7044.48,7044.49
2020-04-20 14:21:00,7045.68,7053.58,7045.68,7049.19
2020-04-20 14:22:00,7047.06,7049.41,7046.9,7049.4
2020-04-20 14:23:00,7049.4,7049.41,7048.46,7049.09
2020-04-20 14:24:00,7049.09,7052.38,7044.36,7050.88
2020-04-20 14:25:00,7050.58,7053.59,7048.79,7053.59
2020-04-20 14:26:00,7053.59,7053.6,7052.44,7052.47
2020-04-20 14:27:00,7052.48,7052.5,7046.83,7046.83
2020-04-20 14:28:00,7046.82,7049.0,7046.06,7046.2
2020-04-20 14:29:00,7046.21,7048.87,7046.21,7048.2
2020-04-20 14:30:00,7048.19,7048.19,7044.99,7044.99
2020-04-20 14:31:00,7045.01,7049.0,7043.93,7048.99
2020-04-20 14:32:00,7044.7,7049.0,7044.7,7049.0
